site,cluster,cluster_method,longitude,latitude,latitude_abs,mean_annual_temp,mean_annual_precip,aridity_index,elevation,seasonal_temp_range,seasonal_precip_range,temp_precip_ratio,seasonality_index,climate_continentality,elevation_latitude_ratio,aridity_seasonality,temp_elevation_ratio,precip_latitude_ratio,climate_zone_code_0,climate_zone_code_1,climate_zone_code_2,biome_code_11.0,biome_code_15.0,igbp_class_code_1,igbp_class_code_2,igbp_class_code_3,igbp_class_code_4,igbp_class_code_5,igbp_class_code_8,igbp_class_code_9,igbp_class_code_11,leaf_habit_code_1.0,leaf_habit_code_3.0,soil_texture_code_1.0,soil_texture_code_2.0,soil_texture_code_3.0,soil_texture_code_4.0,soil_texture_code_6.0,soil_texture_code_7.0,soil_texture_code_8.0,soil_texture_code_9.0,soil_texture_code_12.0,species_functional_group_code_0,species_functional_group_code_1,species_functional_group_code_2,species_functional_group_code_3,species_functional_group_code_4,koppen_geiger_code_encoded_0
CAN_TUR_P39_PRE,2,kmeans_minmax_9,-80.3574,42.7097777778,42.7097777778,9.0,1000.3439889558788,52.64968362925678,184.0,28.621968154229844,0.020688918286353924,0.008987920334334336,2.646091261223501,0.6548184321533388,4.209584430636314,139.31586775755838,10.196,22.886046093420063,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
CHE_DAV_SEE,2,kmeans_minmax_9,9.856198,46.81668,46.81668,3.835492337507554,840.0492344086587,60.716974424633484,1650.0,20.618373542171373,0.025169045830202855,0.004560366005450664,1.4379696757804665,0.43119625917506976,34.50678717133854,87.30916802776109,14.560492337507554,17.568121300112402,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
CHE_PFY_CON,6,kmeans_minmax_9,7.6,46.3,46.3,9.81176362311098,593.9425325608931,29.979286239214083,615.0,19.329993217789525,0.03286118980169971,0.016491951887986314,1.2437895837187911,0.408667932722823,13.002114164904864,37.28792395165857,13.80926362311098,12.556924578454401,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
CHE_PFY_IRR,6,kmeans_minmax_9,7.6,46.3,46.3,9.81176362311098,593.9425325608931,29.979286239214083,615.0,14.018216071257687,0.05844748858447489,0.016491951887986314,0.4512310807506896,0.2963682044663359,13.002114164904864,13.527585729854847,13.80926362311098,12.556924578454401,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
CHN_ARG_GWD,0,kmeans_minmax_9,89.98555556,40.75416667,40.75416667,12.8,8.0,0.3508771929824561,830.0,9.981378155083352,0.0027397260273972603,1.4222222222222223,0.23194518441009165,0.23905106845911225,19.878255661520548,0.0813842752316111,18.195,0.19159764493031853,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
CHN_ARG_GWS,0,kmeans_minmax_9,89.93833333,41.38166667,41.38166667,8.1,14.000000000000002,0.7734806629834254,830.0,9.954964367244205,0.00372514472690662,0.5399999999999999,0.2348302071593077,0.23488845884135223,19.58393959498337,0.18163662432211644,13.495,0.3303315112406834,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
CHN_HOR_AFF,6,kmeans_minmax_9,122.36666666666666,42.71666666666667,42.71666666666667,7.7,521.6497768156635,29.47173880314483,226.5,16.17122629740519,0.03503184713375796,0.014732618938275679,0.7704154048809805,0.36990986574316104,5.1810903545558515,22.705481582571327,9.17225,11.93251491000374,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
CHN_YIN_ST1,0,kmeans_minmax_9,85.71666667,42.45444444,42.45444444,-0.7193354045036453,138.86396142702188,14.962717378495572,900.0,2.5384500067636644,0.0,-0.005143107610883592,1.313421392934958,0.05841634933956284,20.71134521677479,19.652353101355757,5.130664595496354,3.195621603648832,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
CHN_YIN_ST2_DRO,0,kmeans_minmax_9,85.13111111,42.11444444,42.11444444,4.231192256250621,100.12496653899836,7.035599318463392,930.0,2.498211219301087,0.0,0.04184122280642616,1.3194716820948509,0.057943718207426054,21.570497128734427,9.283274067278278,10.27619225625062,2.3223067776818223,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
CHN_YIN_ST3_DRO,0,kmeans_minmax_9,85.98833333,42.28833333,42.28833333,8.600000000000001,108.10316062203265,5.811997882904981,930.0,2.5926695739783128,0.0,0.07882448089467436,1.3052695336078717,0.05989303293831185,21.483848613674496,7.586223765949322,14.645000000000001,2.497281653186546,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
