schema,K,features_used,standardization,source
kmeans_robust_10,10.0,,robust,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_standard_5,5.0,,standard,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_standard_6,6.0,,standard,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_standard_7,7.0,,standard,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_standard_8,8.0,,standard,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_standard_9,9.0,,standard,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_standard_10,10.0,,standard,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_minmax_5,5.0,,minmax,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_minmax_6,6.0,,minmax,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_minmax_7,7.0,,minmax,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_minmax_8,8.0,,minmax,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_minmax_9,9.0,,minmax,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_minmax_10,10.0,,minmax,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_power_5,5.0,,power,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_power_6,6.0,,power,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_power_7,7.0,,power,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_power_8,8.0,,power,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_power_9,9.0,,power,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_power_10,10.0,,power,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_ward_5,5.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_ward_6,6.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_ward_7,7.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
